id,name,handle,label,subscriberCount,viewCount,videoCount,commentCount,authors
UCOpxYGU6whNOWd2LWzkFEKQ,220 Podcast,@220podcast,220 Podcast,48300,517870,12,6072,3160
UCJKjzEoy91UYS-bZLc4CLCQ,Agustín Laje Arrigoni,@agustinlajeok,Agustín Laje,2250000,13597878,64,119271,63737
UCRyGJcJYqqiCByEaUhDLMsw,Ahora Play,@ahora_play,Ahora Play,54700,4012336,610,21479,6874
UCgLBmUFPO8JtZ1nPIBQGMlQ,AZZ,@somosazz,Azzaro,507000,20988541,222,89537,32043
UC6YundoLrEuBJaPp_oEPWaA,Barricada TV,@barricadatv321,Barricada TV,28800,112013,127,1667,1187
UC6pJGaMdx5Ter_8zYbLoRgA,Blender,@estoesblender,Blender,285000,13655858,454,47983,22810
UC_49ElhhVd1BO7MsdBPm77Q,Breakpoint,@breakpointmp,Breakpoint,576000,29423660,193,192112,72217
UCK0EGTOQzaA0psqf35_zXGQ,Brindis TV,@brindistv,Brindis TV,10400,170141,168,941,538
UC7ah60G8vVmj4S1bF3D5JlA,Café Kyoto,@cafekyoto,Café Kyoto,383000,327404,6,2374,1487
UCjJikdA9wz-mjqXhiYAw0iQ,Ceibo,@ceiboargentina,Ceibo,2430,44223,18,273,190
UCxHSIJgKZ8xVXwLGaGZEmKg,Cenital,@cenitalcom,Cenital,28900,174581,3,1122,829
UCVvXKi8_WUIO85hCllKhQBg,Circulo Vicioso,@circulovicioso8,Circulo Vicioso,28600,71282,13,374,222
UCf7cmc_Xxke9eIg76b6qdSg,Danann,@danannoficial,Danann,1880000,10842178,57,69863,38590
UCk5p1QWmrOD7JzTUcJhj28Q,DELIREO,@somosdelireo,DELIREO,13800,193162,21,2019,967
UCHDwIzNtE5vPScYLLXutkHA,El Presto,@elprestook,El Presto,468000,4453020,63,55879,23785
UCdATaiSvmj1wK_IXOkGbaRg,Factoria 1251,@factoria1251,Factoria 1251,2210,12893,13,78,60
UC9vs8KujZ2kJ2hbg01fNRVw,Filo News,@filonews,FiloNews,1450000,3378201,104,9490,7027
UCwd_qoS94df5orGoPLPnsxQ,Franco Pisso,@francopisso,Franco Pisso,882000,4136779,30,34782,23654
UCgn6r0aGRBnEQm02tE_jzbw,Futurock FM,@futurock,Futurock,222000,3716436,213,16607,7040
UCWSfXECGo1qK_H7SXRaUSMg,Gelatina,@somosgelatina,Gelatina,332000,8615721,329,39273,19141
UC4u0BhsSi33PS20_1JHiC5A,LA CASA STREAMING,@somoslacasa,LA CASA,41600,3646843,172,3813,1728
UCDFajagyC0Rq7l5mRSdUnIA,La Fábrica Podcast,@lafabricapodcast_ok,La Fábrica Podcast,784,13580,9,78,66
UCCNbips7oecr9sytVC7YoZw,Inca,@incatube,La Inca,17500,38820,8,490,305
UCPIgqTAeWOgNvrjsGY68JSw,Laca Stream,@lacastream,Laca Stream,2220,47174,32,263,206
UCJfYK2Z_RMgDg4SD1sQH_iQ,Leandro Ziccarelli,@leanzicca,Leandro Ziccarelli,8010,94020,24,615,341
UCZW0ewjrlQtj5OmIdQ9bt0Q,Leyla Bechara,@leylabechara,Leyla Bechara,7910,11472,4,167,122
UCV1WCVexFXNTq_t5Z4xgGNw,LHDA Podcast,@lhdapodcast,LHDA Podcast,34600,2574516,145,4726,1603
UCK2ozGMW83z83QQaHjZeVBg,Los Herederos de Alberdi,@losherederosdealberdi,Los Herederos de Alberdi,341000,12653629,73,49216,20902
UC8WwqW8uW2X6ys3PWMiDSzg,Los Liberales 🗽por Nicolás Morás,@losliberales,Los Liberales,725000,10633026,198,64095,24967
UCemBPOt0FZgLBeu0iQWcj-Q,Luquitas Rodriguez,@luquitasrodriguez,Luquitas Rodriguez,332000,5522463,64,11025,7228
UCTHaNTsP7hsVgBxARZTuajw,LUZU TV,@luzutv,LUZU TV,1410000,41057675,496,77951,21278
UCTlUJTm5qFRLylSJ_8KS34A,MATE #somosmatear,@somosmatear,MATE,59100,507190,45,3187,1272
UCaSLGFmEOmOEhR2fAskG3iA,MOSTRI TV,@mostritv_,MOSTRI TV,2890,18536,60,158,118
UC-40U87JsevMIMn7PMw4jPw,Neura Media,@neuramedia,Neura Media,535000,19315065,396,61348,23621
UCpvYnSZNyBxF2MSWvju06jg,Nico Guthmann,@nicoguthmann,Nico Guthmann,185000,630501,19,6106,3053
UCPauQWO2Z-dTW0JffKSlGkg,Nicolás Márquez,@nicolasmarqueztv,Nicolás Márquez,260000,1501024,44,17372,9556
UC7mJ2EDXFomeDIRFu5FtEbA,OLGA,@olgaenvivo_,OLGA,743000,32534733,262,48801,19804
UCIlhgwnIjK_l2w_MMYy18tw,Pablo Borda,@pablobordaok,Pablo Borda,67900,454250,24,4354,2471
UCMdE59YbYbSqkiZT_DPM4Dg,Pais De Boludos,@paisdeboludos,Pais De Boludos,208000,529773,6,5093,3096
UCulzKEqyE73gXCUqTimbP4A,Paren la mano,@parenlamano,Paren la mano,155000,5652773,133,6628,4427
UCnkAzcpDF-yd5ndPEaBMzDA,Plan M - Maxi Montenegro,@planmmaximontenegro,Plan M,124000,2211774,115,9183,3592
UC7Hx4xBMuw_PvVUliihHEcQ,posdata,@posdata_ar,posdata,22600,410031,116,3849,1577
UCY39HPbA70X7Hrry_OkuMQQ,Pronto Pinarello,@genteenojada7387,Pronto Pinarello,58800,701059,15,2808,2051
UCC1T5E1SKjKz7apQ8IkxTGQ,Ramiro Marra,@ramiromarra,Ramiro Marra,405000,902353,62,6738,3911
UCmk9kjghfkM3k8I6jioDr3g,RepúblicaZ,@republicaz,RepúblicaZ,112000,2705336,171,15915,5067
UCPWTkuJwoesO4LaR3Cwke2Q,Rosendo Grobo - Conversaciones,@rosendogrobostreams,Rosendo Grobo,10600,245673,19,1364,963
UCiwy9Lx6h1Oi-UYwYDbgBZA,Roxana Kreimer,@filosofiaparalavida,Roxana Kreimer,654000,1374134,19,5017,3574
UCFCsnU1m_b1t93Oz9Weawng,Tipito Enojado,@tipitoenojado,Tipito Enojado,354000,658575,3,5044,3913
UCzmvTwRkUUsd-RguaMl2V1g,Tipito LIVE,@tipitolive,Tipito Live,146000,9693750,81,84035,34934
UCEKbBDfanOeB3LqZio_nLdQ,Tomás Rebord,@tomasrebord,Tomás Rebord,112000,590597,20,2605,1792
UCtyqt7XmLdBsrV3Qzw9duHA,TUGO Clips,@tugo_ok,TUGO Clips,4820,74187,58,1206,730
UC1uGQ-6qfBzMnC_ag0EBLNw,vorlytv streaming,@vorlytv,vorlytv,1380,9260,56,128,78
UCvCTWHCbBC0b9UIeLeNs8ug,Vorterix,@vorterixoficial,Vorterix,605000,9642168,375,22516,11277
